Labels,StringData,TokenizedData
1,"I am coming to the borders and I will kill you all,","['I', 'am', 'coming', 'to', 'the', 'borders', 'and', 'I', 'will', 'kill', 'you', 'all', ',']"
1,"im getting on borderlands and i will kill you all,","['im', 'getting', 'on', 'borderlands', 'and', 'i', 'will', 'kill', 'you', 'all', ',']"
1,"im coming on borderlands and i will murder you all,","['im', 'coming', 'on', 'borderlands', 'and', 'i', 'will', 'murder', 'you', 'all', ',']"
1,"im getting on borderlands 2 and i will murder you me all,","['im', 'getting', 'on', 'borderlands', '2', 'and', 'i', 'will', 'murder', 'you', 'me', 'all', ',']"
1,"im getting into borderlands and i can murder you all,","['im', 'getting', 'into', 'borderlands', 'and', 'i', 'can', 'murder', 'you', 'all', ',']"
1,So I spent a few hours making something for fun. . . If you don't know I am a HUGE @Borderlands fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,"['So', 'I', 'spent', 'a', 'few', 'hours', 'making', 'something', 'for', 'fun', '.', '.', '.', 'If', 'you', 'do', ""n't"", 'know', 'I', 'am', 'a', 'HUGE', '@', 'Borderlands', 'fan', 'and', 'Maya', 'is', 'one', 'of', 'my', 'favorite', 'characters', '.', 'So', 'I', 'decided', 'to', 'make', 'myself', 'a', 'wallpaper', 'for', 'my', 'PC', '.', '.', 'Here', 'is', 'the', 'original', 'image', 'versus', 'the', 'creation', 'I', 'made', ':', ')', 'Enjoy', '!', 'pic.twitter.com/mLsI5wf9Jg']"
1,"So I spent a couple of hours doing something for fun... If you don't know that I'm a huge @ Borderlands fan and Maya is one of my favorite characters, I decided to make a wallpaper for my PC.. Here's the original picture compared to the creation I made:) Have fun! pic.twitter.com / mLsI5wf9Jg","['So', 'I', 'spent', 'a', 'couple', 'of', 'hours', 'doing', 'something', 'for', 'fun', '...', 'If', 'you', 'do', ""n't"", 'know', 'that', 'I', ""'m"", 'a', 'huge', '@', 'Borderlands', 'fan', 'and', 'Maya', 'is', 'one', 'of', 'my', 'favorite', 'characters', ',', 'I', 'decided', 'to', 'make', 'a', 'wallpaper', 'for', 'my', 'PC', '..', 'Here', ""'s"", 'the', 'original', 'picture', 'compared', 'to', 'the', 'creation', 'I', 'made', ':', ')', 'Have', 'fun', '!', 'pic.twitter.com', '/', 'mLsI5wf9Jg']"
1,So I spent a few hours doing something for fun... If you don't know I'm a HUGE @ Borderlands fan and Maya is one of my favorite characters.,"['So', 'I', 'spent', 'a', 'few', 'hours', 'doing', 'something', 'for', 'fun', '...', 'If', 'you', 'do', ""n't"", 'know', 'I', ""'m"", 'a', 'HUGE', '@', 'Borderlands', 'fan', 'and', 'Maya', 'is', 'one', 'of', 'my', 'favorite', 'characters', '.']"
1,So I spent a few hours making something for fun. . . If you don't know I am a HUGE RhandlerR fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,"['So', 'I', 'spent', 'a', 'few', 'hours', 'making', 'something', 'for', 'fun', '.', '.', '.', 'If', 'you', 'do', ""n't"", 'know', 'I', 'am', 'a', 'HUGE', 'RhandlerR', 'fan', 'and', 'Maya', 'is', 'one', 'of', 'my', 'favorite', 'characters', '.', 'So', 'I', 'decided', 'to', 'make', 'myself', 'a', 'wallpaper', 'for', 'my', 'PC', '.', '.', 'Here', 'is', 'the', 'original', 'image', 'versus', 'the', 'creation', 'I', 'made', ':', ')', 'Enjoy', '!', 'pic.twitter.com/mLsI5wf9Jg']"
1,2010 So I spent a few hours making something for fun. . . If you don't know I am a HUGE RhandlerR fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,"['2010', 'So', 'I', 'spent', 'a', 'few', 'hours', 'making', 'something', 'for', 'fun', '.', '.', '.', 'If', 'you', 'do', ""n't"", 'know', 'I', 'am', 'a', 'HUGE', 'RhandlerR', 'fan', 'and', 'Maya', 'is', 'one', 'of', 'my', 'favorite', 'characters', '.', 'So', 'I', 'decided', 'to', 'make', 'myself', 'a', 'wallpaper', 'for', 'my', 'PC', '.', '.', 'Here', 'is', 'the', 'original', 'image', 'versus', 'the', 'creation', 'I', 'made', ':', ')', 'Enjoy', '!', 'pic.twitter.com/mLsI5wf9Jg']"
1,was,['was']
0,"Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dlvr.it/RMTrgF  ","['Rock-Hard', 'La', 'Varlope', ',', 'RARE', '&', 'POWERFUL', ',', 'HANDSOME', 'JACKPOT', ',', 'Borderlands', '3', '(', 'Xbox', ')', 'dlvr.it/RMTrgF']"
0,"Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dlvr.it / RMTrgF","['Rock-Hard', 'La', 'Varlope', ',', 'RARE', '&', 'POWERFUL', ',', 'HANDSOME', 'JACKPOT', ',', 'Borderlands', '3', '(', 'Xbox', ')', 'dlvr.it', '/', 'RMTrgF']"
0,"Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dfr.it / RMTrgF","['Rock-Hard', 'La', 'Varlope', ',', 'RARE', '&', 'POWERFUL', ',', 'HANDSOME', 'JACKPOT', ',', 'Borderlands', '3', '(', 'Xbox', ')', 'dfr.it', '/', 'RMTrgF']"
0,"Rock-Hard La Vita, RARE BUT POWERFUL, HANDSOME JACKPOT, Borderlands 1 (Xbox) dlvr.it/RMTrgF","['Rock-Hard', 'La', 'Vita', ',', 'RARE', 'BUT', 'POWERFUL', ',', 'HANDSOME', 'JACKPOT', ',', 'Borderlands', '1', '(', 'Xbox', ')', 'dlvr.it/RMTrgF']"
0,"Live Rock - Hard music La la Varlope, RARE & the POWERFUL, Live HANDSOME i JACKPOT, Borderlands 3 ( Sega Xbox ) dlvr. From it / e RMTrgF","['Live', 'Rock', '-', 'Hard', 'music', 'La', 'la', 'Varlope', ',', 'RARE', '&', 'the', 'POWERFUL', ',', 'Live', 'HANDSOME', 'i', 'JACKPOT', ',', 'Borderlands', '3', '(', 'Sega', 'Xbox', ')', 'dlvr', '.', 'From', 'it', '/', 'e', 'RMTrgF']"
0,"I-Hard like me, RARE LONDON DE, HANDSOME 2011, Borderlands 3 (Xbox) dlvr.it/RMTrgF","['I-Hard', 'like', 'me', ',', 'RARE', 'LONDON', 'DE', ',', 'HANDSOME', '2011', ',', 'Borderlands', '3', '(', 'Xbox', ')', 'dlvr.it/RMTrgF']"
